c0_rf_stage1_stack,c1_rf_stage1_stack,c2_rf_stage1_stack
0.96,0.036,0.004
0.976,0.018,0.006
0.856,0.144,0.0
1.0,0.0,0.0
0.9171333333333335,0.08286666666666666,0.0
0.901,0.065,0.034
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.992,0.008,0.0
1.0,0.0,0.0
0.9246666666666666,0.074,0.0013333333333333333
1.0,0.0,0.0
0.998,0.002,0.0
0.994,0.006,0.0
0.8483,0.1437,0.008
1.0,0.0,0.0
1.0,0.0,0.0
0.9588999999999999,0.0391,0.002
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9563333333333331,0.04166666666666667,0.002
0.9728333333333332,0.027166666666666665,0.0
0.7718666666666667,0.22613333333333333,0.002
1.0,0.0,0.0
1.0,0.0,0.0
0.9953333333333333,0.004666666666666666,0.0
1.0,0.0,0.0
0.9968333333333332,0.0031666666666666666,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8472285714285716,0.15277142857142859,0.0
0.8487285714285714,0.15127142857142856,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8288333333333333,0.13216666666666668,0.039
1.0,0.0,0.0
0.9653333333333333,0.0295,0.005166666666666666
1.0,0.0,0.0
0.6752380952380952,0.2977619047619047,0.026999999999999996
0.7856904761904762,0.2103095238095238,0.004
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8318333333333334,0.1635,0.004666666666666666
0.8946333333333334,0.10336666666666669,0.002
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.11203333333333336,0.05106666666666666,0.8369
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9873333333333334,0.010666666666666666,0.002
0.9851666666666666,0.014833333333333334,0.0
1.0,0.0,0.0
0.998,0.002,0.0
1.0,0.0,0.0
0.988,0.012,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9018666666666668,0.09813333333333334,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8583333333333334,0.1376666666666667,0.004
1.0,0.0,0.0
0.42494444444444446,0.5522222222222223,0.022833333333333327
0.44399999999999995,0.5560000000000002,0.0
0.82225,0.17675,0.001
0.3713333333333333,0.6276666666666667,0.001
0.22544761904761912,0.7745523809523811,0.0
0.7703999999999998,0.22960000000000005,0.0
1.0,0.0,0.0
0.9967999999999999,0.0032,0.0
1.0,0.0,0.0
0.98,0.016,0.004
1.0,0.0,0.0
0.679,0.32100000000000006,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.998,0.002,0.0
0.9927999999999999,0.0072,0.0
1.0,0.0,0.0
0.996,0.004,0.0
0.9896666666666666,0.010333333333333332,0.0
0.998,0.002,0.0
0.998,0.002,0.0
0.9987999999999999,0.0012,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.998,0.002,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.93775,0.05705,0.0052
0.7576333333333334,0.2423666666666667,0.0
0.34562857142857145,0.6543714285714285,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9395999999999999,0.0454,0.015
0.9735,0.021166666666666663,0.005333333333333333
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.9783333333333333,0.021666666666666667,0.0
0.9853333333333334,0.014666666666666666,0.0
0.998,0.002,0.0
0.9913333333333333,0.008666666666666666,0.0
0.43249999999999994,0.2262999999999999,0.3412
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8038952380952381,0.19610476190476187,0.0
1.0,0.0,0.0
1.0,0.0,0.0
